32
0	1322	1819	1504	1148	1631	1541	1595	1051	1594	1377	1930	1990	1115	1566	1356	1128	1449	1732	1604	1479	1286	1253	1935	1875	1556	1300	1711	1085	1312	2001	1403	
1322	0	1131	1562	1337	1321	1750	1503	1989	2025	1593	1084	1854	1904	1630	1920	2035	1929	1237	2033	1805	1224	1926	1738	1704	1276	1041	1747	1292	1736	1601	1793	
1819	1131	0	1399	1030	1867	1460	1405	1143	1252	1881	1315	1184	1185	2015	1302	2047	1136	1360	1719	1165	1649	1388	1168	1749	1411	2020	1132	1419	1514	1197	1477	
1504	1562	1399	0	1813	1814	1832	1496	1584	1058	1699	1577	1600	1785	1113	1359	1831	1385	1357	1098	1687	2043	2037	1199	1679	1075	1895	1416	1423	1892	1091	1796	
1148	1337	1030	1813	0	1956	1804	1574	1992	1466	1855	1535	1571	1437	1203	1760	1938	1844	1543	1670	1364	1694	1843	1208	2027	1393	2010	1242	1772	1354	1387	1755	
1631	1321	1867	1814	1956	0	1598	1731	1635	1381	1703	1761	2028	1436	1505	1386	1786	1407	1038	1977	1210	1501	1081	1858	1558	1877	1310	1718	1025	1780	1176	1244	
1541	1750	1460	1832	1804	1598	0	1872	1643	1134	1060	1126	1415	1634	1396	1034	1754	1234	1921	1564	1353	1077	1672	1358	1214	1669	1803	1933	1962	1652	1094	1909	
1595	1503	1405	1496	1574	1731	1872	0	1902	1476	1480	1108	1860	1592	1227	1355	1851	1985	1369	1170	1478	1296	1105	1861	1090	1769	1161	1309	1725	2041	1378	1080	
1051	1989	1143	1584	1992	1635	1643	1902	0	1550	1327	1057	1572	1059	1575	1125	1216	1440	1483	1673	1889	1599	1758	2044	1603	1301	2007	1808	1486	1428	1074	1370	
1594	2025	1252	1058	1466	1381	1134	1476	1550	0	1448	1539	1937	1072	1661	1372	1339	1121	1852	1781	1039	1979	1940	1744	1172	1585	1952	1410	1508	1941	1826	1511	
1377	1593	1881	1699	1855	1703	1060	1480	1327	1448	0	1438	1702	1429	1365	1597	1765	1471	1082	1578	1338	1640	1406	1222	1442	1078	1969	1092	1129	1380	1279	1230	
1930	1084	1315	1577	1535	1761	1126	1108	1057	1539	1438	0	1055	1588	1465	1219	1451	1394	1220	1308	1171	1621	1044	1181	1061	1973	1551	1492	1790	1606	2023	1050	
1990	1854	1184	1600	1571	2028	1415	1860	1572	1937	1702	1055	0	1878	1271	1097	1900	1066	1764	1433	1545	1822	2012	1617	1710	1794	1159	1293	1795	1238	1701	1972	
1115	1904	1185	1785	1437	1436	1634	1592	1059	1072	1429	1588	1878	0	1205	2008	1745	1264	1549	1318	1285	1444	1383	1062	1638	1463	2029	1231	1727	1713	1455	1931	
1566	1630	2015	1113	1203	1505	1396	1227	1575	1661	1365	1465	1271	1205	0	1149	1521	1611	1313	1450	1470	1716	1065	1474	1762	1120	1158	1654	1557	1845	1887	1272	
1356	1920	1302	1359	1760	1386	1034	1355	1125	1372	1597	1219	1097	2008	1149	0	1201	1029	1298	1434	1235	1647	1040	1350	1200	1748	1328	1934	1173	1232	1773	1270	
1128	2035	2047	1831	1938	1786	1754	1851	1216	1339	1765	1451	1900	1745	1521	1201	0	1660	1602	1653	1957	1177	1986	1625	1215	1547	1737	1766	1759	1333	1717	1695	
1449	1929	1136	1385	1844	1407	1234	1985	1440	1121	1471	1394	1066	1264	1611	1029	1660	0	1949	1965	1876	1150	1523	1948	1697	1146	1838	1489	1204	1527	1540	1274	
1732	1237	1360	1357	1543	1038	1921	1369	1483	1852	1082	1220	1764	1549	1313	1298	1602	1949	0	1140	1362	1347	1273	1802	1980	1757	1700	1682	1491	1194	1049	1265	
1604	2033	1719	1098	1670	1977	1564	1170	1673	1781	1578	1308	1433	1318	1450	1434	1653	1965	1140	0	1569	1389	1928	1783	1971	1397	1281	1526	1779	1665	1856	1622	
1479	1805	1165	1687	1364	1210	1353	1478	1889	1039	1338	1171	1545	1285	1470	1235	1957	1876	1362	1569	0	1901	1890	1368	1722	1945	1524	2018	1026	1510	1473	2042	
1286	1224	1649	2043	1694	1501	1077	1296	1599	1979	1640	1621	1822	1444	1716	1647	1177	1150	1347	1389	1901	0	1857	1063	1420	1366	1874	1841	1306	1709	1864	1441	
1253	1926	1388	2037	1843	1081	1672	1105	1758	1940	1406	1044	2012	1383	1065	1040	1986	1523	1273	1928	1890	1857	0	1888	1960	1529	1262	1305	1639	1774	1346	1976	
1935	1738	1168	1199	1208	1858	1358	1861	2044	1744	1222	1181	1617	1062	1474	1350	1625	1948	1802	1783	1368	1063	1888	0	1445	1777	1459	1657	1277	1696	1155	1266	
1875	1704	1749	1679	2027	1558	1214	1090	1603	1172	1442	1061	1710	1638	1762	1200	1215	1697	1980	1971	1722	1420	1960	1445	0	1942	1970	1409	1422	1384	1834	1118	
1556	1276	1411	1075	1393	1877	1669	1769	1301	1585	1078	1973	1794	1463	1120	1748	1547	1146	1757	1397	1945	1366	1529	1777	1942	0	1087	1217	1966	1721	1797	1334	
1300	1041	2020	1895	2010	1310	1803	1161	2007	1952	1969	1551	1159	2029	1158	1328	1737	1838	1700	1281	1524	1874	1262	1459	1970	1087	0	1528	1707	1319	1117	1189	
1711	1747	1132	1416	1242	1718	1933	1309	1808	1410	1092	1492	1293	1231	1654	1934	1766	1489	1682	1526	2018	1841	1305	1657	1409	1217	1528	0	1024	2016	1923	1233	
1085	1292	1419	1423	1772	1025	1962	1725	1486	1508	1129	1790	1795	1727	1557	1173	1759	1204	1491	1779	1026	1306	1639	1277	1422	1966	1707	1024	0	1724	1064	1656	
1312	1736	1514	1892	1354	1780	1652	2041	1428	1941	1380	1606	1238	1713	1845	1232	1333	1527	1194	1665	1510	1709	1774	1696	1384	1721	1319	2016	1724	0	1589	1605	
2001	1601	1197	1091	1387	1176	1094	1378	1074	1826	1279	2023	1701	1455	1887	1773	1717	1540	1049	1856	1473	1864	1346	1155	1834	1797	1117	1923	1064	1589	0	2031	
1403	1793	1477	1796	1755	1244	1909	1080	1370	1511	1230	1050	1972	1931	1272	1270	1695	1274	1265	1622	2042	1441	1976	1266	1118	1334	1189	1233	1656	1605	2031	0	
