22
0	913	833	953	581	536	515	886	595	545	878	910	798	816	622	728	504	638	563	858	736	815	
913	0	538	552	704	707	844	701	632	577	959	635	932	929	869	734	906	942	746	627	757	498	
833	538	0	714	909	825	772	692	592	623	619	693	897	698	512	700	963	520	849	668	960	649	
953	552	714	0	946	688	670	892	791	846	550	860	663	661	578	839	867	794	559	738	842	838	
581	704	909	946	0	743	793	809	589	908	497	644	829	601	907	786	824	875	680	674	537	543	
536	707	825	688	743	0	696	764	590	782	770	484	759	933	956	870	919	532	650	894	598	503	
515	844	772	670	793	696	0	962	565	715	602	811	517	890	827	570	571	553	797	945	928	889	
886	701	692	892	809	764	962	0	872	556	710	654	546	914	662	671	634	803	607	785	911	612	
595	632	592	791	589	590	565	872	0	510	790	924	882	699	651	835	954	796	812	507	647	965	
545	577	623	846	908	782	715	556	510	0	855	593	845	576	689	642	891	639	828	810	725	896	
878	959	619	550	497	770	602	710	790	855	0	509	948	730	820	491	652	720	866	739	716	608	
910	635	693	860	644	484	811	654	924	593	509	0	722	733	591	921	768	658	851	673	918	555	
798	932	897	663	829	759	517	546	882	845	948	722	0	806	767	863	495	949	930	726	551	769	
816	929	698	661	601	933	890	914	699	576	730	733	806	0	573	740	958	814	807	682	518	629	
622	869	512	578	907	956	827	662	651	689	820	591	767	573	0	800	881	511	883	487	691	615	
728	734	700	839	786	870	570	671	835	642	491	921	863	740	800	0	653	951	760	678	905	605	
504	906	963	867	824	919	571	634	954	891	652	768	495	958	881	653	0	528	659	524	542	572	
638	942	520	794	875	532	553	803	796	639	720	658	949	814	511	951	528	0	582	702	899	808	
563	746	849	559	680	650	797	607	812	828	866	851	930	807	883	760	659	582	0	541	778	616	
858	627	668	738	674	894	945	785	507	810	739	673	726	682	487	678	524	702	541	0	780	732	
736	757	960	842	537	598	928	911	647	725	716	918	551	518	691	905	542	899	778	780	0	676	
815	498	649	838	543	503	889	612	965	896	608	555	769	629	615	605	572	808	616	732	676	0	
